success,mode,payload_bytes,error_type,error,completed_utc,execution_order,repetition,run_id,client_success,client_endpoint,client_mode,client_payload_bytes,client_tls_version,client_tls_cipher,client_tls_group,client_alpn,client_error_type,client_error,client_tcp_connect_ms,client_tls_handshake_ms,client_tls_exporter_ms,client_pqc_handshake_ms,client_pqc_kem_keygen_ms,client_pqc_signature_sign_ms,client_pqc_signature_verify_ms,client_pqc_encapsulation_ms,client_pqc_decapsulation_ms,client_pqc_kdf_ms,client_channel_ready_ms,client_ping_rtt_ms,client_ping_service_ms,client_upload_send_ms,client_upload_receive_ms,client_download_send_ms,client_download_receive_ms,client_transfer_total_ms,client_throughput_mbps,client_process_cpu_ms,client_handshake_framed_bytes_sent,client_handshake_framed_bytes_received,client_application_framed_bytes_sent,client_application_framed_bytes_received,server_success,server_endpoint,server_mode,server_payload_bytes,server_tls_version,server_tls_cipher,server_tls_group,server_alpn,server_error_type,server_error,server_tcp_connect_ms,server_tls_handshake_ms,server_tls_exporter_ms,server_pqc_handshake_ms,server_pqc_kem_keygen_ms,server_pqc_signature_sign_ms,server_pqc_signature_verify_ms,server_pqc_encapsulation_ms,server_pqc_decapsulation_ms,server_pqc_kdf_ms,server_channel_ready_ms,server_ping_rtt_ms,server_ping_service_ms,server_upload_send_ms,server_upload_receive_ms,server_download_send_ms,server_download_receive_ms,server_transfer_total_ms,server_throughput_mbps,server_process_cpu_ms,server_handshake_framed_bytes_sent,server_handshake_framed_bytes_received,server_application_framed_bytes_sent,server_application_framed_bytes_received
True,baseline,1024,,,2026-09-05T08:48:04.446602+00:00,21,2,0021-baseline-1024-r2,True,client,baseline,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,27.4615,2.4416,,,,,,,,,29.9325,0.1963,,0.3744,,,0.3275,0.7551,21.697788372401007,15.625,0,0,1244,1192,True,server,baseline,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,27.1293,,,,,,,,,27.1379,,0.3369,,0.4437,0.2789,,0.8261,19.832950006052535,15.625,0,0,1192,1244
True,hybrid,104857600,,,2026-09-05T08:48:05.665802+00:00,22,2,0022-hybrid-104857600-r2,True,client,hybrid,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,2.7921,2.4867,0.0472,2.305,,,0.2363,0.228,,0.1298,7.6857,0.247,,343.624,,,305.5096,649.2183,2584.217974139053,640.625,1144,4581,104929990,104929913,True,server,hybrid,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,2.2215,0.0605,2.4803,0.2773,0.7689,,,0.0994,0.1215,4.8035,,0.1652,,343.7471,305.3934,,649.3291,2583.7770092238284,609.375,4581,1144,104929913,104929990
True,hybrid,102400,,,2026-09-05T08:48:06.237618+00:00,23,2,0023-hybrid-102400-r2,True,client,hybrid,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,2.604,2.2952,0.0432,1.7798,,,0.2259,0.2167,,0.122,6.7764,0.2327,,0.7956,,,0.8901,1.7492,936.6567573747999,15.625,1144,4581,102790,102713,True,server,hybrid,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,2.0063,0.0546,1.9677,0.2283,0.3926,,,0.0943,0.1136,4.0695,,0.1519,,1.0048,0.6391,,1.8424,889.274858879722,15.625,4581,1144,102713,102790
True,native,524288000,,,2026-09-05T08:48:09.759495+00:00,24,2,0024-native-524288000-r2,True,client,native,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,25.5265,3.0693,,,,,,,,,28.619,0.2586,,1470.9423,,,1451.6256,2922.6396,2870.216361948972,2640.625,0,0,524448320,524448268,True,server,native,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,25.7669,,,,,,,,,25.7759,,0.377,,1471.0669,1451.4839,,2922.7464,2870.1114814477232,2609.375,0,0,524448268,524448320
True,baseline,104857600,,,2026-09-05T08:48:10.930804+00:00,25,2,0025-baseline-104857600-r2,True,client,baseline,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,18.15,2.4832,,,,,,,,,20.6563,0.2277,,283.0412,,,295.7393,578.8543,2898.348686362009,546.875,0,0,104889840,104889788,True,server,baseline,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,17.7553,,,,,,,,,17.7641,,0.3371,,283.2387,295.5582,,578.9581,2897.8290484233667,515.625,0,0,104889788,104889840
True,baseline,1073741824,,,2026-09-05T08:48:17.328957+00:00,26,2,0026-baseline-1073741824-r2,True,client,baseline,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,16.112,2.3343,,,,,,,,,18.4796,0.2588,,2963.2963,,,2851.5749,5814.9461,2954.433091649809,5593.75,0,0,1074069944,1074069892,True,server,baseline,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,15.6469,,,,,,,,,15.6553,,0.3548,,2963.4013,2851.4789,,5815.0638,2954.3732923446173,5421.875,0,0,1074069892,1074069944
True,hybrid,524288000,,,2026-09-05T08:48:21.233771+00:00,27,2,0027-hybrid-524288000-r2,True,client,hybrid,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,21.8969,2.3665,0.0456,2.2937,,,0.2285,0.2177,,0.1243,26.6593,0.2372,,1686.9366,,,1626.0117,3313.0314,2532.0037715308104,3156.25,1144,4581,524648570,524648493,True,server,hybrid,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,21.4227,0.0547,2.5106,0.2392,0.9224,,,0.0943,0.1142,24.0297,,0.1577,,1687.0731,1625.5585,,3313.1243,2531.932774149162,3125.0,4581,1144,524648493,524648570
True,baseline,102400,,,2026-09-05T08:48:21.835182+00:00,28,2,0028-baseline-102400-r2,True,client,baseline,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,21.3934,2.4198,,,,,,,,,23.8376,0.2641,,0.7224,,,0.9142,1.6991,964.27520452004,0.0,0,0,102640,102588,True,server,baseline,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,20.8971,,,,,,,,,20.9056,,0.3147,,0.9506,0.6154,,1.8194,900.516653841926,0.0,0,0,102588,102640
True,hybrid,1048576,,,2026-09-05T08:48:22.427878+00:00,29,2,0029-hybrid-1048576-r2,True,client,hybrid,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,12.2308,2.5804,0.0546,2.4579,,,0.223,0.2339,,0.1428,17.3964,0.2711,,3.9699,,,3.9565,7.9957,2098.279825406156,15.625,1144,4581,1049641,1049564,True,server,hybrid,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,11.9798,0.0597,2.6685,0.2681,0.9098,,,0.1108,0.1206,14.7492,,0.1509,,4.1507,3.7535,,8.1226,2065.4982394799695,15.625,4581,1144,1049564,1049641
True,hybrid,1024,,,2026-09-05T08:48:23.022264+00:00,30,2,0030-hybrid-1024-r2,True,client,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,17.3469,2.4401,0.0444,2.4658,,,0.2216,0.2191,,0.1204,22.3549,0.2371,,0.3706,,,0.3953,0.8325,19.68048048048048,0.0,1144,4581,1369,1292,True,server,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,16.9419,0.0542,2.6628,0.2465,0.9638,,,0.1032,0.1147,19.7008,,0.1236,,0.4854,0.3109,,0.9633,17.00820097581231,15.625,4581,1144,1292,1369
True,native,1024,,,2026-09-05T08:48:23.607648+00:00,31,2,0031-native-1024-r2,True,client,native,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,19.6598,2.9587,,,,,,,,,22.6385,0.2596,,0.348,,,0.3694,0.7761,21.110681613194174,15.625,0,0,1244,1192,True,server,native,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,19.9147,,,,,,,,,19.9245,,0.3588,,0.484,0.2876,,0.8764,18.694659972615245,0.0,0,0,1192,1244
True,baseline,524288000,,,2026-09-05T08:48:26.831134+00:00,32,2,0032-baseline-524288000-r2,True,client,baseline,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,22.7919,2.9689,,,,,,,,,25.8007,0.2816,,1424.3086,,,1198.8961,2623.2758,3197.76060145868,2531.25,0,0,524448320,524448268,True,server,baseline,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,22.8424,,,,,,,,,22.8527,,0.3771,,1424.4535,1198.7882,,2623.8082,3197.111740103564,2515.625,0,0,524448268,524448320
True,baseline,1048576,,,2026-09-05T08:48:27.417581+00:00,33,2,0033-baseline-1048576-r2,True,client,baseline,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,2.6931,2.4853,,,,,,,,,5.1979,0.2415,,3.2457,,,2.9641,6.2795,2671.74392865674,0.0,0,0,1049116,1049064,True,server,baseline,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,2.1897,,,,,,,,,2.1978,,0.3535,,3.3692,2.8167,,6.3718,2633.0418406101885,15.625,0,0,1049064,1049116
True,native,1048576,,,2026-09-05T08:48:28.025476+00:00,34,2,0034-native-1048576-r2,True,client,native,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,26.5091,2.9616,,,,,,,,,29.4965,0.2624,,3.3942,,,3.3797,6.8472,2450.230167075593,46.875,0,0,1049116,1049064,True,server,native,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,26.4503,,,,,,,,,26.4595,,0.3771,,3.5231,3.2589,,6.9809,2403.3027260095405,31.25,0,0,1049064,1049116
True,native,102400,,,2026-09-05T08:48:28.634040+00:00,35,2,0035-native-102400-r2,True,client,native,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,23.6027,2.8194,,,,,,,,,26.4446,0.2713,,0.7046,,,0.9475,1.714,955.8926487747958,15.625,0,0,102640,102588,True,server,native,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,23.6738,,,,,,,,,23.6827,,0.3513,,0.9546,0.5918,,1.8461,887.492551866096,0.0,0,0,102588,102640
True,native,104857600,,,2026-09-05T08:48:29.768536+00:00,36,2,0036-native-104857600-r2,True,client,native,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,2.6171,2.7961,,,,,,,,,5.432,0.2055,,291.0939,,,275.6458,566.8135,2959.918209428675,562.5,0,0,104889840,104889788,True,server,native,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,2.4978,,,,,,,,,2.5065,,0.341,,291.1686,275.5627,,566.9107,2959.4107149503443,500.0,0,0,104889788,104889840
True,hybrid,1024,,,2026-09-05T08:48:30.365392+00:00,37,3,0037-hybrid-1024-r3,True,client,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,18.3311,2.5099,0.0436,2.2655,,,0.2272,0.2359,,0.1246,23.2113,0.2757,,0.3739,,,0.3966,0.8393,19.52102942928631,0.0,1144,4581,1369,1292,True,server,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,17.9464,0.0562,2.4505,0.2633,0.7353,,,0.1044,0.1208,20.497,,0.1611,,0.4804,0.3093,,0.9653,16.9729617735419,15.625,4581,1144,1292,1369
